incident_id,company_name,company_revenue_usd,country_hq,industry_primary,industry_secondary,employee_count,is_public_company,stock_ticker,incident_date,incident_date_estimated,discovery_date,disclosure_date,attack_vector_primary,attack_vector_secondary,attack_chain,attributed_group,attribution_confidence,data_compromised_records,data_type,systems_affected,downtime_hours,data_source_primary,data_source_secondary,data_source_type,confidence_tier,quality_score,quality_grade,review_flag,notes,created_at,updated_at
2021-1001-001,Ottawa Solutions Corp.,588367670.93,CA,56,52,20229,False,,2021-10-01,True,2021-10-11,2021-12-02,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,6094.0,credentials,"email,ERP,customer_database,cloud_infrastructure",320.38,https://therecord.media/2021/03/21/ottawa-solutions-corp-breached,https://www.ottawa-solutions-corp.com/newsroom/2021/02/security-update,verified_media,4,94.97,Gold,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2022-1007-001,ToolComposite Defense Co. Ltd.,53071232.49,KR,31-33,,155,False,,2022-10-07,False,2022-12-07,2022-12-20,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,14466.0,financial,"SSO,CRM,backup_systems,payment_systems",59.18,https://www.toolcomposite-defense-co-.com/newsroom/2022/01/security-update,,company_pr,2,98.82,Gold,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2023-1111-001,Hughes Education Corp.,9358322328.66,US,61,,192975,False,,2023-11-11,False,2024-02-14,2024-02-25,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,Royal,unknown,1000.0,health,"website,ERP,email",66.74,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001091884&type=8-K&dateb=20230114&owner=include&count=10,https://www.bleepingcomputer.com/news/security/hughes-education-corp-hit-by-cyberattack-2023/,sec_filing,1,94.57,Gold,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2022-0424-001,Mantis Lantern Biotech Group AB,455159513.75,SE,62,,2385,False,,2022-04-24,False,2022-05-29,2022-07-23,malware,,Trojanized installer via SEO-poisoned download → fileless PowerShell execution → registry run-key persistence → credential dumping via LSASS → data staged for exfil,,,27829.0,credentials,"VPN,customer_database,HR_systems,file_servers,backup_systems",17.04,https://www.cnil.fr/decisions/2022/06/INQ-2022-00044,,gdpr_notification,1,71.75,Silver,,OT/ICS systems affected; physical operations suspended for 5 days,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2023-0902-001,Anderson Securities Inc.,4681402229.24,US,52,,16493,False,,2023-09-02,False,2023-09-09,2023-10-14,apt,,,Conti,suspected,903745.0,PII,"payment_systems,customer_database,ERP",67.98,https://www.theregister.com/2023/05/10/anderson-securities-_security_incident/,,verified_media,4,75.03,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2021-1124-001,Genoa Group S.r.l.,34348692144.96,IT,52,,71320,False,,2021-11-24,False,2021-12-05,2022-01-13,apt,,,Medusa,confirmed,233574.0,credentials,payment_systems,9.85,https://www.mandiant.com/resources/blog/genoa-group-srl-incident-response-2021,,cybersecurity_firm,3,74.21,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2023-0216-001,Belfast Advisory Ltd.,6350774936.77,GB,54,,21535,True,BEL1.L,2023-02-16,False,2023-04-17,2023-06-02,apt,,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,,,228075.0,PII,SSO,134.74,https://www.mandiant.com/resources/blog/belfast-advisory-ltd-incident-response-2023,https://www.ico.org.uk/decisions/2023/11/INQ-2023-00047,cybersecurity_firm,3,69.01,Bronze,,Cross-border incident; primary filing in AEPD jurisdiction,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2023-1013-001,DynamicMachine Products Pty Ltd.,93037502.07,AU,31-33,,323,False,,2023-10-13,True,2024-01-15,2024-01-28,apt,,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,Hive,confirmed,87460.0,PII,"active_directory,SSO,website,ERP",167.96,https://www.bleepingcomputer.com/news/security/dynamicmachine-products-p-hit-by-cyberattack-2023/,,verified_media,4,70.26,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2024-1202-001,Munich Genomics GmbH,314057889.27,DE,62,,1759,True,MUNI.DE,2024-12-02,False,2024-12-12,2024-12-25,ransomware,,,,,44647095.0,health,backup_systems,4.0,https://www.ico.org.uk/decisions/2024/10/INQ-2024-00049,https://krebsonsecurity.com/2024/04/munich-genomics-gmbh-breach-exposes-data/,gdpr_notification,1,71.61,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2024-0915-001,ServiceLink Staffing Inc.,27180206.2,CA,56,,862,False,,2024-09-15,False,2024-09-20,2024-10-21,malware,,,APT28,probable,14963.0,health,ERP,16.93,https://www.mandiant.com/resources/blog/servicelink-staffing-incident-response-2024,,cybersecurity_firm,3,98.74,Gold,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2025-1231-001,Lambert MedTech Co.,288092661.28,US,62,,1744,False,,2025-12-31,False,2026-02-02,2026-02-14,ransomware,,,DarkSide,suspected,1344167.0,PII,SSO,5.23,https://www.mandiant.com/resources/blog/lambert-medtech-co-incident-response-2025,,cybersecurity_firm,3,82.11,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2025-0331-001,Kowalski Electric Holdings Inc.,20438774030.52,US,22,,97775,True,KOWA,2025-03-31,False,2025-05-03,2025-05-14,apt,,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,,,307225.0,credentials,file_servers,33.12,https://www.mandiant.com/resources/blog/kowalski-electric-ho-incident-response-2025,,cybersecurity_firm,3,80.82,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2023-0907-001,Hamburg Group SE,3255846565.43,DE,44-45,,49709,False,,2023-09-07,False,2023-09-18,2023-11-17,malware,,Trojanized installer via SEO-poisoned download → fileless PowerShell execution → registry run-key persistence → credential dumping via LSASS → data staged for exfil,,,34454.0,IP,"payment_systems,file_servers,SSO",180.85,https://www.ico.org.uk/decisions/2023/11/INQ-2023-00062,,gdpr_notification,1,78.02,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2023-1004-001,Whitfield Diagnostics S.r.l.,36252630.85,IT,62,,210,False,,2023-10-04,False,2024-01-06,2024-01-28,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,1750.0,financial,"website,VPN,ERP,cloud_infrastructure,payment_systems",26.84,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001300692&type=8-K&dateb=20230312&owner=include&count=10,,sec_filing,1,98.83,Gold,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2022-1104-001,Dynamo Ridge Diagnostics Corp.,8123110317.32,US,62,,35373,True,DRD,2022-11-04,False,2022-11-20,2023-01-27,apt,,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,,,35700.0,health,"backup_systems,CRM,payment_systems,file_servers,cloud_infrastructure",25.18,https://therecord.media/2022/09/05/dynamo-ridge-diagnostics--breached,https://www.cnil.fr/decisions/2022/04/INQ-2022-00069,verified_media,3,63.73,Bronze,,Company undergoing M&A at time of incident; financial attribution complex,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2025-0704-001,Raven Condor Commerce Ltda.,618883121.63,BR,44-45,,4041,False,,2025-07-04,False,2025-10-02,2025-11-21,malware,,Trojanized installer via SEO-poisoned download → fileless PowerShell execution → registry run-key persistence → credential dumping via LSASS → data staged for exfil,FIN7,confirmed,112416.0,PII,"manufacturing_OT,active_directory,backup_systems",58.28,https://unit42.paloaltonetworks.com/threat-brief-raven-condor-commerc-2025/,https://www.raven-condor-commerce-ltd.com/newsroom/2025/05/security-update,cybersecurity_firm,3,83.81,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2023-0708-001,Sovereign Power Electric Ltda.,720048750.23,BR,22,31-33,2195,False,,2023-07-08,False,2023-07-12,2023-10-11,ransomware,,,,,22365.0,mixed,HR_systems,133.3,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001816344&type=8-K&dateb=20230618&owner=include&count=10,https://therecord.media/2023/09/16/sovereign-power-electric--breached,sec_filing,1,84.31,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2025-0501-001,WealthSecura Holdings Group Inc.,2602619344.67,AT,52,,6189,False,,2025-05-01,False,2025-05-19,2025-07-23,apt,,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,,,74646.0,mixed,"website,HR_systems,cloud_infrastructure,CRM",5.81,https://www.edpb.europa.eu/decisions/2025/11/INQ-2025-00082,https://therecord.media/2025/07/16/wealthsecura-holdings-gro-breached,gdpr_notification,1,84.13,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2024-1010-001,Houston Department Inc.,340623178.79,US,92,,4398,False,,2024-10-10,False,2024-10-12,2024-12-11,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,Hive,confirmed,288055.0,PII,"active_directory,CRM,VPN",51.6,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001472298&type=8-K&dateb=20240517&owner=include&count=10,https://www.houston-department-inc.com/newsroom/2024/10/security-update,sec_filing,1,87.7,Gold,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2025-0831-001,Nashville Securities Co.,420339692.5,US,52,,1196,True,NAS1,2025-08-31,False,2025-09-15,2025-10-15,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,Sandworm,suspected,63748.0,PII,"customer_database,backup_systems,VPN,email,cloud_infrastructure",17.2,https://www.nashville-securities-co.com/newsroom/2025/07/security-update,,company_pr,2,54.58,Bronze,low_quality_score,Multiple subsidiaries affected across 3 jurisdictions,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2021-0829-001,CompositeWeld Components Corp.,16685815544.26,CA,31-33,62,48934,True,COMP.TO,2021-08-29,False,2021-10-02,2021-10-11,malware,,,BianLian,probable,3414242.0,mixed,email,14.1,https://www.bleepingcomputer.com/news/security/compositeweld-components--hit-by-cyberattack-2021/,,verified_media,4,72.07,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2025-0606-001,Sequoia Crown Financial Corp.,6486016176.02,JP,52,,17810,True,SCF.T,2025-06-06,False,2025-06-09,2025-06-21,apt,,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,Akira,unknown,874147.0,PII,"customer_database,SSO",24.79,https://www.theregister.com/2025/10/05/sequoia-crown-financ_security_incident/,https://www.edpb.europa.eu/decisions/2025/04/INQ-2025-00090,verified_media,4,52.94,Bronze,low_quality_score,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2023-1105-001,Azure Township Services PLC,5297153309.04,IE,92,,62210,False,,2023-11-05,False,2023-12-05,2024-02-08,malware,,Trojanized installer via SEO-poisoned download → fileless PowerShell execution → registry run-key persistence → credential dumping via LSASS → data staged for exfil,Conti,probable,9256285.0,PII,"CRM,active_directory,VPN,cloud_infrastructure",12.01,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001217877&type=8-K&dateb=20230205&owner=include&count=10,https://blog.talosintelligence.com/2023/02/azure-township-servi-campaign.html,sec_filing,1,91.14,Gold,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2023-1201-001,Phoenix Harbor Group SAS,5652901587.08,FR,54,,20468,True,PHOE.PA,2023-12-01,False,2024-01-02,2024-01-23,apt,,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,,,29241.0,mixed,"SCADA,cloud_infrastructure,backup_systems",11.17,https://www.bleepingcomputer.com/news/security/phoenix-harbor-group-sas-hit-by-cyberattack-2023/,,verified_media,4,85.88,Gold,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2023-0815-001,Talon Paladin BioSciences Co. Ltd.,78836299.57,JP,62,61,339,False,,2023-08-15,False,2023-11-17,2023-12-22,ransomware,,,Cl0p,unknown,72384.0,PII,ERP,51.57,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001691838&type=8-K&dateb=20230126&owner=include&count=10,,sec_filing,1,86.78,Gold,,Employee count approximate; sourced from LinkedIn company page,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2023-0921-001,Cleveland Diagnostics Holdings Inc.,35752212.43,US,62,,185,False,,2023-09-21,False,2023-09-28,2023-11-17,ransomware,backdoor,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,APT28,suspected,215316.0,financial,"CRM,payment_systems,HR_systems,cloud_infrastructure,website",2.77,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001841415&type=8-K&dateb=20230227&owner=include&count=10,,sec_filing,1,72.67,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2025-0826-001,Phoenix Capital Corp.,45081073096.65,US,52,,109986,True,PHOE,2025-08-26,False,2025-09-12,2025-09-26,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,7094.0,health,CRM,6.36,https://www.bleepingcomputer.com/news/security/phoenix-capital-corp-hit-by-cyberattack-2025/,https://www.aepd.es/decisions/2025/04/INQ-2025-00098,verified_media,4,60.39,Bronze,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2025-0128-001,Atlanta MedTech Inc.,232680166.83,US,62,42,2328,False,,2025-01-28,False,2025-03-04,2025-03-19,malware,,,,,9976.0,financial,"payment_systems,ERP,VPN",556.94,https://www.bleepingcomputer.com/news/security/atlanta-medtech-inc-hit-by-cyberattack-2025/,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001772739&type=8-K&dateb=20250816&owner=include&count=10,verified_media,4,64.28,Bronze,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2021-1101-001,PathOncus Medical Co. Ltd.,22433274090.19,KR,62,72,223257,True,PATH.KS,2021-11-01,False,2021-12-03,2021-12-19,ransomware,,,,,40154.0,financial,"website,email,SSO,manufacturing_OT,HR_systems",29.58,https://www.pathoncus-medical-co-ltd.com/newsroom/2021/05/security-update,,company_pr,2,94.27,Gold,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2024-1231-001,Coleman Sciences Holdings Inc.,3051445901.36,CA,62,,12216,True,COLE.TO,2024-12-31,False,2025-01-10,2025-02-28,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,7476.0,credentials,email,77.72,https://www.coleman-sciences-holdings.com/newsroom/2024/06/security-update,,company_pr,2,78.65,Silver,,Company undergoing M&A at time of incident; financial attribution complex,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2021-0910-001,Citadel Care Labs Group Inc.,33549773898.69,DK,62,,137859,True,CCL.CO,2021-09-10,False,2021-12-14,2022-01-13,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,2527.0,credentials,"SCADA,customer_database,ERP,backup_systems,SSO",104.52,https://therecord.media/2021/01/23/citadel-care-labs-group-i-breached,,verified_media,4,50.04,Bronze,low_quality_score,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2025-0426-001,Nexus Trace Intelligence Group SA,5172099008.28,FR,51,22,9362,True,NTI.PA,2025-04-26,False,2025-10-26,2026-01-27,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,67450.0,financial,"SSO,payment_systems,website",24.12,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001813432&type=8-K&dateb=20250403&owner=include&count=10,,sec_filing,1,71.43,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2023-1222-001,Sable Wind Energy SA,139611656.63,FR,22,,433,False,,2023-12-22,False,2023-12-24,2024-01-03,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,LockBit,suspected,26238.0,mixed,"VPN,HR_systems,SCADA,email,cloud_infrastructure",79.18,https://therecord.media/2023/08/17/sable-wind-energy-sa-breached,,verified_media,4,85.18,Gold,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2024-0401-001,Clarke Solutions Holdings PLC,9445560221.34,GB,56,,264247,False,,2024-04-01,False,2024-04-03,2024-05-19,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,277339.0,mixed,"file_servers,VPN",13.06,https://www.bleepingcomputer.com/news/security/clarke-solutions-holdings-hit-by-cyberattack-2024/,https://www.aepd.es/decisions/2024/04/INQ-2024-00116,verified_media,4,78.93,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2021-0803-001,Quartz Paladin Assurance Holdings Inc.,177073367.02,US,52,,685,False,,2021-08-03,False,2021-08-17,2021-09-03,ransomware,ddos,,,,8781.0,PII,"payment_systems,website,email,customer_database",296.19,https://www.bfdi.bund.de/decisions/2021/06/INQ-2021-00120,,gdpr_notification,1,80.99,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2022-1118-001,LandRealty Group Co.,9251385781.66,MX,53,,24935,True,LAND.MX,2022-11-18,False,2022-12-07,2023-02-08,apt,,,DarkSide,confirmed,22483.0,mixed,"customer_database,payment_systems,website,manufacturing_OT",106.9,https://www.ico.org.uk/decisions/2022/07/INQ-2022-00121,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001743544&type=8-K&dateb=20220504&owner=include&count=10,gdpr_notification,1,56.51,Bronze,low_quality_score,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2024-1115-001,Delta Net Platforms Inc.,485962113.37,US,51,,847,False,,2024-11-15,False,2024-11-26,2024-12-16,ransomware,data_breach,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,Turla,probable,24510.0,mixed,"email,ERP,website",164.12,https://krebsonsecurity.com/2024/12/delta-net-platforms--breach-exposes-data/,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001661519&type=8-K&dateb=20241011&owner=include&count=10,verified_media,4,84.49,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2023-0607-001,Zimmer Insurance Pty Ltd.,1288786592.98,AU,52,71,4831,False,,2023-06-07,True,2023-06-08,2023-07-23,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,APT28,suspected,3817.0,PII,"SCADA,SSO,website,customer_database",809.29,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001657286&type=8-K&dateb=20230715&owner=include&count=10,,sec_filing,1,94.55,Gold,,Employee count approximate; sourced from LinkedIn company page,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2024-0224-001,Aldridge Security Holdings Co. Ltd.,561014195.46,JP,51,,973,False,,2024-02-24,True,2024-03-06,2024-05-10,ransomware,,,Akira,confirmed,54730.0,mixed,"CRM,ERP,payment_systems,backup_systems,SCADA",208.5,https://unit42.paloaltonetworks.com/threat-brief-aldridge-security-ho-2024/,https://www.ico.org.uk/decisions/2024/12/INQ-2024-00129,cybersecurity_firm,3,97.98,Gold,,Incident scope expanded during investigation; initial disclosure understated impact,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2021-0317-001,Okonkwo Retail Holdings PLC,20153961059.2,GB,44-45,,219647,True,OKON.L,2021-03-17,False,2021-03-27,2021-04-28,apt,ddos,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,Scattered_Spider,suspected,1000.0,mixed,"website,email,ERP,backup_systems",19.97,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001813537&type=8-K&dateb=20211213&owner=include&count=10,,sec_filing,1,79.81,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2021-0817-001,Mantis Mart Retail Corp.,2964964626.61,US,44-45,62,34495,False,,2021-08-17,False,2021-10-16,2021-10-26,ransomware,supply_chain,,BlackCat/ALPHV,suspected,4814.0,mixed,"backup_systems,VPN,payment_systems,HR_systems,manufacturing_OT",91.87,https://www.crowdstrike.com/blog/mantis-mart-retail-c-intrusion-analysis-2021/,,cybersecurity_firm,3,70.67,Silver,,Incident date based on forensic timeline reconstruction (+-2 days),2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
